Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score
186,Bridge to Terabithia,Katherine Paterson,4.05,"558,148","First published October 21, 1977", ,"17,011",190,Kindle Edition,"95,779"
184,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.20,"650,332","First published January 1, 1934","Just after midnight, a snowdrift stops the famous Orient Express in its tracks as it travels through the mountainous Balkans. The luxurious train is surprisingly full for the time of the year but, by the morning, it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.","42,430",274,Paperback,"96,600"
299,Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,"11,557","First published July 3, 2007",A compulsively readable account of a journey to the Congo — a country virtually inaccessible to the outside world — vividly told by a daring and adventurous journalist.,846,363,Paperback,"50,415"
298,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.01,"694,607","First published May 26, 2011","The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. ","34,872",432,Kindle Edition,"50,540"
295,The Things They Carried,Tim O'Brien,4.14,"322,668","First published March 28, 1990","A classic work of American literature that has not stopped changing minds and lives since it burst onto the literary scene, The Things They Carried is a ground-breaking meditation on war, memory, imagination, and the redemptive power of storytelling. ","19,551",246,Paperback,"51,188"
297,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,"231,098","First published January 1, 1852","The narrative drive of Stowe's classic novel is often overlooked in the heat of the controversies surrounding its anti-slavery sentiments. In fact, it is a compelling adventure story with richly drawn characters and has earned a place in both literary and American history. Stowe's religious beliefs show up in the novel's final, overarching theme—the exploration of the nature of Christianity and how Christian theology is fundamentally incompatible with slavery.","10,110",438,Paperback,"50,549"
300,Never Let Me Go,Kazuo Ishiguro,3.85,"733,573","First published April 5, 2005","Hailsham seems like a pleasant English boarding school, far from the influences of the city. Its students are well tended and supported, trained in art and literature, and become just the sort of people the world wants them to be. But, curiously, they are taught nothing of the outside world and are allowed little contact with it.","57,628",288,Paperback,"49,994"
293,"Delirium (Delirium, #1)",Lauren Oliver,3.95,"470,769","First published February 3, 2011","In an alternate United States, love has been declared a dangerous disease, and the government forces everyone who reaches eighteen to have a procedure called the Cure. Living with her aunt, uncle, and cousins in Portland, Maine, Lena Haloway is very much looking forward to being cured and living a safe, predictable life. She watched love destroy her mother and isn't about to make the same mistake.","28,952",441,Paperback,"51,248"
188,Tess of the D’Urbervilles,Thomas Hardy,3.83,"289,219","First published January 1, 1891",Alternate covers can be found ,"12,250",518,Paperback,"95,235"
294,Invisible Man,Ralph Ellison,3.91,"191,857","First published April 14, 1952","First published in 1952 and immediately hailed as a masterpiece, ","8,658",581,Paperback,"51,194"
292,King Lear,William Shakespeare,3.91,"223,863","First published January 1, 1605","Shakespeare’s King Lear challenges us with the magnitude, intensity, and sheer duration of the pain that it represents. Its figures harden their hearts, engage in violence, or try to alleviate the suffering of others. Lear himself rages until his sanity cracks. What, then, keeps bringing us back to King Lear? For all the force of its language, King Lear is almost equally powerful when translated, suggesting that it is the story, in large part, that draws us to the play.","7,383",339,Mass Market Paperback,"51,359"
296,White Oleander,Janet Fitch,4.00,"357,607","First published July 1, 1999","Everywhere hailed as a novel of rare beauty and power, ","9,483",446,Paperback,"50,593"
291,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.10,"205,098","First published January 1, 1985","Lestat. The vampire hero of Anne Rice's enthralling new novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying existence. His is a mesmerizing story --- passionate, complex, and thrilling.","5,768",481,Mass Market Paperback,"51,752"
288,"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,"429,875","First published September 23, 2003",Alternate cover edition: ,"14,778",563,Paperback,"52,553"
398,As I Lay Dying,William Faulkner,3.72,"173,060","First published January 1, 1930"," is Faulkner’s harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother. Narrated in turn by each of the family members -- including Addie herself -- as well as others; the novel ranges in mood, from dark comedy to the deepest pathos. Considered one of the most influential novels in American fiction in structure, style, and drama, ","11,414",288,Paperback,"33,354"
400,Inferno,Dante Alighieri,4.02,"187,859","First published January 1, 1320","Professor Esolen's translation of Dante's Inferno is the best one I have seen, for two reasons. His decision to use unrhymed blank verse allows him to come nearly as close to the meaning of the original as any prose reading could do, and allows him also to avoid the harrowing sacrifices that the demand for rhyme imposes on any translator. And his endnotes and other additions provoke answers to almost any question that could arise about the work."" —A. Kent Hieatt","8,348",490,Kindle Edition,"33,190"
397,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,"241,408","First published January 1, 1843","Edgar Allan Poe remains the unsurpassed master of works of mystery and madness in this outstanding collection of Poe's prose and poetry are sixteen of his finest tales, including:","1,684",448,Mass Market Paperback,"33,360"
393,القرآن الكريم,Anonymous,4.38,"69,191","First published March 18, 632","The Quran (English pronunciation: /kɔrˈɑːn/; Arabic: القرآن‎ al-qurʾān, IPA: [qurˈʔaːn], literally meaning ""the recitation""), also transliterated Qur'an, Koran, Al-Coran, Coran, Kur'an, and Al-Qur'an, is the central religious text of Islam, which Muslims believe to be the verbatim word of God (Arabic: الله‎, Allah). ","3,807",604,Hardcover,"33,828"
290,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,"746,622","First published May 1, 2007",The stunning third and final novel in Stieg Larsson's internationally best-selling trilogy.,"31,822",566,Hardcover,"52,007"
395,Go Ask Alice,Beatrice Sparks,3.74,"280,109","First published January 1, 1971","It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.","13,681",213,Paperback,"33,545"
